index,date,Susceptible,Exposed,Asymptomatic,Infected,Recovered,Deaths,DRS
7922,2020-04-04,672424.2621311214,2088.473848086759,0.7163120701307205,144.05333562371987,38.85567372270174,39.80222195622359,Sao Joao da Boa Vista
7923,2020-04-05,671889.4537823325,2622.567537597819,1.119671808270032,143.69040228337798,48.55307631131089,39.80222195622359,Sao Joao da Boa Vista
7924,2020-04-06,671344.5944234185,3166.5487092964067,1.6142667212227575,143.3911299950894,58.24440929105938,39.80222195622359,Sao Joao da Boa Vista
7925,2020-04-07,670787.0948621561,3723.003160950273,2.2016256833437904,143.15652667755785,67.92988082741186,39.80222195622359,Sao Joao da Boa Vista
7926,2020-04-08,670214.3322256521,4294.549587707551,2.88371741029316,142.98789379572926,77.60966617472066,39.80222195622359,Sao Joao da Boa Vista
7927,2020-04-09,669623.6285135903,4883.8610024132595,3.6629619472467114,142.8868340260796,87.28390969687317,39.80222195622359,Sao Joao da Boa Vista
7928,2020-04-10,669012.2361174789,5493.679210607433,4.542231625225933,142.8552518944548,96.95272674809755,39.80222195622359,Sao Joao da Boa Vista
7929,2020-04-11,668377.3357547573,6126.816845376062,5.524868198215021,142.89536521108758,106.61620264258295,39.80222195622359,Sao Joao da Boa Vista
7930,2020-04-12,667716.0225931861,6786.171224264605,6.614691172681623,143.00971062834637,116.27439389224573,39.80222195622359,Sao Joao da Boa Vista
7931,2020-04-13,667025.290519664,7474.7400516679945,7.816011470594352,143.2011527573301,125.92732933437279,39.80222195622359,Sao Joao da Boa Vista
7932,2020-04-14,666302.0223220043,8195.631203447738,9.133648748798688,143.47289572435216,135.57501016651875,39.80222195622359,Sao Joao da Boa Vista
7933,2020-04-15,665542.9763188959,8952.076067611006,10.572945760129002,143.82849275340612,145.2174106958131,39.80222195622359,Sao Joao da Boa Vista
7934,2020-04-16,664744.7735110967,9747.44234151966,12.139795231125733,144.2718641005943,154.85447812573398,39.80222195622359,Sao Joao da Boa Vista
7935,2020-04-17,663903.8853441209,10585.246241703351,13.840653342656012,144.80730604907788,164.48613323051345,39.80222195622359,Sao Joao da Boa Vista
7936,2020-04-18,663016.622195999,11469.16395537536,15.682571817576067,145.43951231997306,174.11226967889786,39.80222195622359,Sao Joao da Boa Vista
7937,2020-04-19,662079.1168506681,12403.048125972351,17.673218350994514,146.17358770450863,183.73275476384623,39.80222195622359,Sao Joao da Boa Vista
7938,2020-04-20,661087.3140290403,13390.938256960344,19.820911139767283,147.01507110432138,193.34742856923785,39.80222195622359,Sao Joao da Boa Vista
7939,2020-04-21,660036.9555503235,14437.075499219081,22.134645175648295,147.96995307577725,202.95610415642685,39.80222195622359,Sao Joao da Boa Vista
7940,2020-04-22,658923.5673648133,15545.915556091471,24.624124740280948,149.04469751264068,212.55856719986068,39.80222195622359,Sao Joao da Boa Vista
7941,2020-04-23,657742.4451823222,16722.142984008366,27.299800508831662,150.2462664039256,222.1545755563752,39.80222195622359,Sao Joao da Boa Vista
7942,2020-04-24,656488.6403617386,17970.685231747007,30.172906738383652,151.5821446483081,231.74385887073453,39.80222195622359,Sao Joao da Boa Vista
7943,2020-04-25,655156.9450479283,19296.727422332708,33.25550376662196,153.0603684119196,241.32611805157737,39.80222195622359,Sao Joao da Boa Vista
7944,2020-04-26,653741.8768032183,20705.72763316449,36.56052428344188,154.68955600368554,250.90102469309917,39.80222195622359,Sao Joao da Boa Vista
7945,2020-04-27,652237.677461179,22203.418031411748,40.10177899937342,156.47891165766467,260.46822100213814,39.80222195622359,Sao Joao da Boa Vista
7946,2020-04-28,650638.2769838944,23795.840797237597,43.89407155827633,158.4383022100759,270.02731836005825,39.80222195622359,Sao Joao da Boa Vista
7947,2020-04-29,648937.3018642188,25489.33975820232,47.95317931899692,160.57824427563455,279.5778975880584,39.80222195622359,Sao Joao da Boa Vista
7948,2020-04-30,647128.0462381329,27290.58908251268,52.295955087481076,162.90997212970126,289.1195077061086,39.80222195622359,Sao Joao da Boa Vista
7949,2020-05-01,645203.4699335251,29206.59518786906,56.94034913401941,165.44545239962792,298.6516658090793,39.80222195622359,Sao Joao da Boa Vista
7950,2020-05-02,643156.1848146815,31244.710293690317,61.905463189331186,168.19742009440068,308.1738564601242,39.80222195622359,Sao Joao da Boa Vista
7951,2020-05-03,640978.4388326668,33412.64818797687,67.21164559980065,171.17944209836176,317.68553097709605,39.80222195622359,Sao Joao da Boa Vista
7952,2020-05-04,638662.1208145352,35718.479479488924,72.88046968977841,174.4059027331419,327.18610767630463,39.80222195622359,Sao Joao da Boa Vista
7953,2020-05-05,636198.7389268607,38170.65282945709,78.93489199377956,177.8921093404098,336.6749710995611,39.80222195622359,Sao Joao da Boa Vista
7954,2020-05-06,633579.4248000854,40777.99091135245,85.3992087097784,181.6542632246896,346.1514721084958,39.80222195622359,Sao Joao da Boa Vista
7955,2020-05-07,630794.9332315351,43549.69049836266,92.29916353485619,185.709531608306,355.614928231369,39.80222195622359,Sao Joao da Boa Vista
